Country_acc,Brand_acc,Tier_acc,Stage_acc,Package_acc,SKU_std,SKU_wo_pkg,Stage_3F,SKU_No,From_DI,Frome_EIB
NL,NC,PN,1,,NL_NC_PN__1,NL_NC_PN_1,IF,,FALSE,FALSE
NL,NC,PN,2,,NL_NC_PN__2,NL_NC_PN_2,FO,,FALSE,FALSE
NL,NC,PN,3,,NL_NC_PN__3,NL_NC_PN_3,FO,,FALSE,FALSE
NL,NC,PN,4,,NL_NC_PN__4,NL_NC_PN_4,GUM,,FALSE,FALSE
NL,NC,PN,5,,NL_NC_PN__5,NL_NC_PN_5,GUM,,FALSE,FALSE
NL,NC,PN,6,,NL_NC_PN__6,NL_NC_PN_6,GUM,,FALSE,FALSE
ANZ,APT,PF,1,CAN,ANZ_APT_PF_CAN_1,ANZ_APT_PF_1,IF,41930,TRUE,TRUE
ANZ,APT,PF,2,CAN,ANZ_APT_PF_CAN_2,ANZ_APT_PF_2,FO,42930,TRUE,TRUE
ANZ,APT,PF,3,CAN,ANZ_APT_PF_CAN_3,ANZ_APT_PF_3,GUM,43930,TRUE,TRUE
ANZ,APT,PF,4,CAN,ANZ_APT_PF_CAN_4,ANZ_APT_PF_4,GUM,44930,TRUE,TRUE
ANZ,APT,PN,1,CAN,ANZ_APT_PN_CAN_1,ANZ_APT_PN_1,IF,21962,TRUE,TRUE
ANZ,APT,PN,2,CAN,ANZ_APT_PN_CAN_2,ANZ_APT_PN_2,FO,22962,TRUE,TRUE
ANZ,APT,PN,3,CAN,ANZ_APT_PN_CAN_3,ANZ_APT_PN_3,GUM,23962,TRUE,TRUE
ANZ,APT,PN,4,CAN,ANZ_APT_PN_CAN_4,ANZ_APT_PN_4,GUM,24932,TRUE,TRUE
ANZ,KC,GD,3,CAN,ANZ_KC_GD_CAN_3,ANZ_KC_GD_3,GUM,109332,FALSE,TRUE
DE,APT,PF,1,JB,DE_APT_PF_JB_1,DE_APT_PF_1,IF,102777,TRUE,TRUE
DE,APT,PN,PRE,,DE_APT_PN__PRE,DE_APT_PN_PRE,IF,,FALSE,FALSE
DE,APT,PN,1,,DE_APT_PN__1,DE_APT_PN_1,IF,,FALSE,FALSE
DE,APT,PN,2,,DE_APT_PN__2,DE_APT_PN_2,FO,,FALSE,FALSE
DE,APT,PN,3,,DE_APT_PN__3,DE_APT_PN_3,FO,,FALSE,FALSE
DE,APT,PN,4,,DE_APT_PN__4,DE_APT_PN_4,GUM,,FALSE,FALSE
DE,APT,PN,5,,DE_APT_PN__5,DE_APT_PN_5,GUM,,FALSE,FALSE
DE,APT,PF,PRE,,DE_APT_PF__PRE,DE_APT_PF_PRE,IF,,FALSE,FALSE
DE,APT,PF,1,,DE_APT_PF__1,DE_APT_PF_1,IF,,FALSE,FALSE
DE,APT,PF,2,,DE_APT_PF__2,DE_APT_PF_2,FO,,FALSE,FALSE
ANZ,KC,PL,1,CAN,ANZ_KC_PL_CAN_1,ANZ_KC_PL_1,IF,109328,FALSE,TRUE
ANZ,KC,PL,3,CAN,ANZ_KC_PL_CAN_3,ANZ_KC_PL_3,GUM,109339,FALSE,TRUE
ANZ,TN,TN,,CAN,ANZ_TN_TN_CAN_,ANZ_TN_TN_,TN,57239,FALSE,TRUE
DE,APT,PF,2,JB,DE_APT_PF_JB_2,DE_APT_PF_2,FO,102778,TRUE,TRUE
DE,APT,PF,PRE,JB,DE_APT_PF_JB_PRE,DE_APT_PF_PRE,IF,103522,TRUE,TRUE
DE,APT,PN,4,BIB,DE_APT_PN_BIB_4,DE_APT_PN_4,GUM,104622,TRUE,TRUE
DE,APT,PN,5,BIB,DE_APT_PN_BIB_5,DE_APT_PN_5,GUM,104623,TRUE,TRUE
DE,APT,PN,1,EZP,DE_APT_PN_EZP_1,DE_APT_PN_1,IF,84130,TRUE,TRUE
DE,APT,PN,2,EZP,DE_APT_PN_EZP_2,DE_APT_PN_2,FO,89337,TRUE,TRUE
DE,APT,PN,3,EZP,DE_APT_PN_EZP_3,DE_APT_PN_3,FO,89339,TRUE,TRUE
DE,APT,PN,PRE,EZP,DE_APT_PN_EZP_PRE,DE_APT_PN_PRE,IF,80969,TRUE,TRUE
DE,APT,PN,1,JB,DE_APT_PN_JB_1,DE_APT_PN_1,IF,609650,TRUE,FALSE
UK,C&G,C&G,1,,UK_C&G_C&G__1,UK_C&G_C&G_1,IF,,FALSE,FALSE
UK,C&G,C&G,2,,UK_C&G_C&G__2,UK_C&G_C&G_2,FO,,FALSE,FALSE
UK,C&G,C&G,3,,UK_C&G_C&G__3,UK_C&G_C&G_3,GUM,,FALSE,FALSE
UK,C&G,C&G,4,,UK_C&G_C&G__4,UK_C&G_C&G_4,GUM,,FALSE,FALSE
DE,APT,PN,2,JB,DE_APT_PN_JB_2,DE_APT_PN_2,FO,609661,TRUE,FALSE
DE,APT,PN,3,JB,DE_APT_PN_JB_3,DE_APT_PN_3,FO,609663,TRUE,FALSE
DE,APT,PN,4,JB,DE_APT_PN_JB_4,DE_APT_PN_4,GUM,615865,TRUE,FALSE
DE,APT,PN,5,JB,DE_APT_PN_JB_5,DE_APT_PN_5,GUM,615867,TRUE,FALSE
UK,C&G,C&G,5,EZP,UK_C&G_C&G_EZP_5,UK_C&G_C&G_5,GUM,57801,FALSE,TRUE
UK,APT,PF,1,,UK_APT_PF__1,UK_APT_PF_1,IF,,FALSE,FALSE
UK,APT,PF,2,,UK_APT_PF__2,UK_APT_PF_2,FO,,FALSE,FALSE
UK,APT,PF,3,,UK_APT_PF__3,UK_APT_PF_3,GUM,,FALSE,FALSE
DE,APT,PN,PRE,JB,DE_APT_PN_JB_PRE,DE_APT_PN_PRE,IF,609649,TRUE,FALSE
NL,NC,PN,1,EZP,NL_NC_PN_EZP_1,NL_NC_PN_1,IF,79227,TRUE,TRUE
NL,NC,PN,2,EZP,NL_NC_PN_EZP_2,NL_NC_PN_2,FO,77317,TRUE,TRUE
NL,NC,PN,3,EZP,NL_NC_PN_EZP_3,NL_NC_PN_3,FO,104968,TRUE,TRUE
NL,NC,PN,4,EZP,NL_NC_PN_EZP_4,NL_NC_PN_4,GUM,90382,TRUE,TRUE
UK,APT,PF,1,JB,UK_APT_PF_JB_1,UK_APT_PF_1,IF,106924,FALSE,TRUE
NL,NC,PN,5,EZP,NL_NC_PN_EZP_5,NL_NC_PN_5,GUM,90384,TRUE,TRUE
NL,NC,PN,1,JB,NL_NC_PN_JB_1,NL_NC_PN_1,IF,612402,TRUE,FALSE
NL,NC,PN,2,JB,NL_NC_PN_JB_2,NL_NC_PN_2,FO,612403,TRUE,FALSE
NL,NC,PN,3,JB,NL_NC_PN_JB_3,NL_NC_PN_3,FO,612404,TRUE,FALSE
NL,NC,PN,4,JB,NL_NC_PN_JB_4,NL_NC_PN_4,GUM,612405,TRUE,FALSE
NL,NC,PN,5,JB,NL_NC_PN_JB_5,NL_NC_PN_5,GUM,612406,TRUE,FALSE
UK,APT,PN,1,EZP,UK_APT_PN_EZP_1,UK_APT_PN_1,IF,623548,TRUE,TRUE
UK,APT,PN,2,EZP,UK_APT_PN_EZP_2,UK_APT_PN_2,FO,623553,TRUE,TRUE
UK,APT,PN,3,EZP,UK_APT_PN_EZP_3,UK_APT_PN_3,GUM,623557,TRUE,TRUE
ANZ,KC,GT,1,CAN,ANZ_KC_GT_CAN_1,ANZ_KC_GT_1,IF,109352,FALSE,TRUE
ANZ,KC,GT,2,CAN,ANZ_KC_GT_CAN_2,ANZ_KC_GT_2,FO,109353,FALSE,TRUE
ANZ,KC,GT,3,CAN,ANZ_KC_GT_CAN_3,ANZ_KC_GT_3,GUM,109354,FALSE,TRUE
ANZ,KC,GD,1,CAN,ANZ_KC_GD_CAN_1,ANZ_KC_GD_1,IF,109334,FALSE,TRUE
ANZ,KC,GD,2,CAN,ANZ_KC_GD_CAN_2,ANZ_KC_GD_2,FO,109335,FALSE,TRUE
UK,APT,PF,2,JB,UK_APT_PF_JB_2,UK_APT_PF_2,FO,106925,FALSE,TRUE
ANZ,KC,GD,4,CAN,ANZ_KC_GD_CAN_4,ANZ_KC_GD_4,GUM,109358,FALSE,TRUE
UK,APT,PF,3,JB,UK_APT_PF_JB_3,UK_APT_PF_3,GUM,106926,FALSE,TRUE
UK,APT,PN,4,EZP,UK_APT_PN_EZP_4,UK_APT_PN_4,GUM,623554,TRUE,TRUE
UK,APT,PN,1,,UK_APT_PN__1,UK_APT_PN_1,IF,,FALSE,FALSE
ANZ,KC,GT,,CAN,ANZ_KC_GT_CAN_,ANZ_KC_GT_,GUM,109352,FALSE,TRUE
UK,APT,PN,2,,UK_APT_PN__2,UK_APT_PN_2,FO,,FALSE,FALSE
ANZ,KC,PL,2,CAN,ANZ_KC_PL_CAN_2,ANZ_KC_PL_2,FO,109330,FALSE,TRUE
UK,APT,PN,3,,UK_APT_PN__3,UK_APT_PN_3,GUM,,FALSE,FALSE
ANZ,KC,PL,4,CAN,ANZ_KC_PL_CAN_4,ANZ_KC_PL_4,GUM,109340,FALSE,TRUE
UK,APT,PN,4,,UK_APT_PN__4,UK_APT_PN_4,GUM,,FALSE,FALSE
DE,APT,PN,PEP,CAN,DE_APT_PN_CAN_PEP,DE_APT_PN_PEP,TN,56798,FALSE,TRUE
DE,APT,PN,PREA,CAN,DE_APT_PN_CAN_PREA,DE_APT_PN_PREA,TN,67553,FALSE,TRUE
DE,APT,PN,PREG,CAN,DE_APT_PN_CAN_PREG,DE_APT_PN_PREG,TN,56797,FALSE,TRUE
NL,NC,PN,6,EZP,NL_NC_PN_EZP_6,NL_NC_PN_6,GUM,93911,FALSE,TRUE
UK,C&G,C&G,1,EZP,UK_C&G_C&G_EZP_1,UK_C&G_C&G_1,IF,623549,TRUE,TRUE
UK,C&G,C&G,2,EZP,UK_C&G_C&G_EZP_2,UK_C&G_C&G_2,FO,623550,TRUE,TRUE
UK,C&G,C&G,3,EZP,UK_C&G_C&G_EZP_3,UK_C&G_C&G_3,GUM,623556,TRUE,TRUE
UK,C&G,C&G,4,EZP,UK_C&G_C&G_EZP_4,UK_C&G_C&G_4,GUM,623552,TRUE,TRUE
UK,APT,PN,5,EZP,UK_APT_PN_EZP_5,UK_APT_PN_5,GUM,79222,FALSE,TRUE
