Customer,Name 1,Pre.ac.no.
950219456,南昌市名优食品有限公司,0002402594
950217765,UNIQUE FOODS AND FAMILY OVERSEAS,0002104867
950219333,上海优壹电子商务有限公司,0002105196
950219334,上海优壹电子商务有限公司,0002104486
950219375,上海新邦生物科技有限公司,0002103191
950219376,上海易初莲花连锁超市有限公司,0002100438
950219377,上海红马饲料有限公司,0002103467
950219378,中山市宝昊贸易有限公司,0002105176
950219379,乌鲁木齐市诚成商贸有限责任公司,0002100632
950219380,保正（上海）供应链管理股份有限公司,0002105170
950219381,兰州天赐佳宝商贸有限责任公司,0002104561
950219382,北京东华盛商贸有限责任公司,0002102970
950219383,华润万家有限公司,0002104856
950219384,华润万家生活超市（浙江）有限公司,0002104857
950219385,南昌市名优食品有限公司,0002100550
950219386,呼和浩特市鸿泰商贸有限责任公司,0002100571
950219387,哈尔滨阿华多美商贸有限责任公司,0002100591
950219388,大连禧丰禄贸易有限公司,0002104511
950219389,宁波优壹宝贝电子商务有限公司,0002104636
950219390,宁波优壹宝贝电子商务有限公司,0002104701
950219391,宁波优壹宝贝电子商务有限公司,0002104901
950219393,家乐福（上海）供应链管理有限公司东莞分公司,0002105011
950219394,家乐福（上海）供应链管理有限公司天津分公司,0002104891
950219395,家乐福（上海）供应链管理有限公司成都分公司,0002104841
950219396,家乐福（上海）供应链管理有限公司昆山分公司,0002104842
950219397,家乐福（上海）供应链管理有限公司沈阳分公司,0002105041
950219398,家乐福（上海）供应链管理有限公司鄂州分公司,0002104871
950219399,家家悦集团股份有限公司,0002100525
950219400,山东九州商业集团有限公司,0002100520
950219401,山东格高商贸有限公司,0002105169
950219402,山东潍坊百货集团股份有限公司中百配送中心,0002100524
950219403,广州市汇儿贸易有限公司,0002105071
950219404,康德乐（上海）医药有限公司,0002104902
950219405,康成投资（中国）有限公司,0002101876
950219406,广东润华商业有限公司,0002103656
950219407,昆明悦鑫商贸有限公司,0002100631
950219408,桂林市嘉乐禧贸易有限责任公司,0002104811
950219409,欧尚（中国）投资有限公司,0002100760
950219410,武汉友谊副食品商业有限责任公司,0002104501
950219411,武汉大润发江汉超市发展有限公司,0002104858
950219412,武汉市生泰副食有限责任公司,0002100594
950219413,武汉武商超市管理有限公司（DO NOT USE）,0002103343
950219414,汕头市华盛贸易有限公司,0002105148
950219415,江西东万晟实业有限公司,0002105061
950219416,沃尔玛（中国）投资有限公司,0002100778
950219417,济南历下大润发商贸有限公司,0002103378
950219418,浙江爱婴室物流有限公司,0002104916
950219419,海口裕祥隆实业有限公司,0002100647
950219420,深圳市怡亚通供应链股份有限公司,0002104832
950219421,深圳市泰华通实业发展有限公司阳江分公司,0002105072
950219422,湛江市万庆丰贸易有限公司,0002100634
950219423,特易购乐购（中国）投资有限公司嘉善分公司,0002100461
950219424,石家庄市富荣食品有限公司,0002102487
950219425,苏果超市有限公司,0002104881
950219426,郑州市香香贸易有限公司,0002102949
950219427,重庆宝怡商贸有限公司,0002104812
950219428,锦江麦德龙现购自运有限公司,0002100419
950219429,长春百利贸易有限公司,0002104111
950219430,陕西华润万家生活超市有限公司,0002104861
950219431,陕西德毅晟贸易有限公司,0002105201
950219432,陕西霍飞贸易有限公司,0002104732
950219433,青岛东万丰食品有限公司,0002104781
950219434,青岛润泰事业有限公司沈阳分公司,0002103881
950219435,青岛福兴祥商品配送有限公司,0002100529
950219436,上海优壹电子商务有限公司,0002402169
950219437,上海优壹电子商务有限公司,0002402394
950219438,中国外运有限公司,0002400105
950219439,中山市宝昊贸易有限公司,0002402954
950219440,乌鲁木齐市诚成商贸有限责任公司(DO NOT USE),0002402574
950219441,保正（上海）供应链管理股份有限公司,0002402946
950219442,兰州天赐佳宝商贸有限责任公司(DO NOT USE),0002402709
950219443,兰州天赐佳宝商贸有限责任公司,0002402724
950219444,兰州天赐佳宝商贸有限责任公司,0002402249
950219445,北京东华盛商贸有限公司,0002402185
950219446,北京东华盛商贸有限公司,0002402186
950219447,北京东华盛商贸有限责任公司,0002402869
950219448,北京东华盛商贸有限责任公司,0002402879
950219449,北京东华盛商贸有限责任公司,0002402880
950219450,北京东华盛商贸有限责任公司,0002402955
950219451,华润万家有限公司,0002402615
950219452,华润万家有限公司,0002402629
950219453,华润万家生活超市（浙江）有限公司,0002402616
950219454,南昌市名优食品有限公司,0002402582
950219455,南昌市名优食品有限公司,0002402593
950219457,南昌市名优食品有限公司,0002400513
950219458,厦门中联宝田贸易有限公司,0002402750
950219459,合肥金燕食品有限责任公司,0002402374
950219460,合肥金燕食品有限责任公司,0002402235
950219461,呼和浩特市鸿泰商贸有限责任公司,0002400423
950219462,哈尔滨阿华多美商贸有限责任公司,0002402546
950219463,哈尔滨阿华多美商贸有限责任公司,0002400191
950219464,四川省嘉恒食品有限责任公司,0002400061
950219465,大连禧丰禄贸易有限公司,0002402194
950219466,天津市家氏商贸有限公司,0002400180
950219467,宁波优壹宝贝电子商务有限公司,0002402511
950219468,宁波优壹宝贝电子商务有限公司,0002402364
950219469,宁波家家乐国际贸易有限公司,0002402795
950219470,宁波家家乐国际贸易有限公司,0002402796
950219471,宁波家家乐国际贸易有限公司(DO NOT USE),0002402797
950219472,宁波家家乐国际贸易有限公司,0002402798
950219473,宁波家家乐国际贸易有限公司,0002402799
950219474,宁波家家乐国际贸易有限公司,0002402800
950219475,家乐福（上海）供应链管理有限公司,0002402603
950219476,家乐福（上海）供应链管理有限公司,0002402604
950219477,家乐福（上海）供应链管理有限公司,0002402809
950219478,家家悦集团股份有限公司,0002400119
950219479,家家悦集团股份有限公司,0002402379
950219480,山东九州商业集团有限公司,0002400163
950219481,山东格高商贸有限公司,0002402945
950219482,山东潍坊百货集团股份有限公司,0002401509
950219483,山西运昌商务有限公司,0002400214
950219484,广州市汇儿贸易有限公司,0002402844
950219485,广州润德发仓储有限公司,0002401579
950219486,康成投资（中国）有限公司,0002400148
950219487,康成投资（中国）有限公司,0002402084
950219488,康成投资（中国）有限公司,0002402729
950219489,昆山润华商业有限公司,0002402881
950219490,昆明悦鑫商贸有限公司(DO NOT USE),0002402470
950219491,上海易初莲花连锁超市有限公司,0002400104
950219492,桂林市嘉乐禧贸易有限责任公司,0002402570
950219493,桂林市嘉乐禧贸易有限责任公司,0002402587
950219494,桂林市嘉乐禧贸易有限责任公司,0002402588
950219495,桂林市嘉乐禧贸易有限责任公司,0002402882
950219496,欧尚（中国）投资有限公司,0002402499
950219497,武汉友谊副食品商业有限责任公司,0002402554
950219498,武汉友谊副食品商业有限责任公司,0002402555
950219499,武汉友谊副食品商业有限责任公司,0002402556
950219500,武汉友谊副食品商业有限责任公司,0002402557
950219501,武汉友谊副食品商业有限责任公司,0002402189
950219502,武汉大润发江汉超市发展有限公司,0002402617
950219503,武汉大润发江汉超市发展有限公司,0002402974
950219504,武汉市生泰副食有限责任公司,0002402560
950219505,武汉市生泰副食有限责任公司,0002402561
950219506,武汉市生泰副食有限责任公司,0002401414
950219507,武汉市生泰副食有限责任公司,0002402558
950219508,武汉市生泰副食有限责任公司,0002402559
950219509,武汉武商量贩连锁有限公司（DO NOT USE）,0002401140
950219510,汕头市华盛贸易有限公司,0002402901
950219511,汕头市华盛贸易有限公司,0002402902
950219512,汕头市华盛贸易有限公司,0002402903
950219513,江西东万晟实业有限公司,0002402829
950219514,江西东万晟实业有限公司,0002402830
950219515,江西东万晟实业有限公司,0002402831
950219516,江西东万晟实业有限公司,0002402932
950219517,江西东万晟实业有限公司,0002402947
950219518,江西东万晟实业有限公司,0002402899
950219519,沃尔玛（中国）投资有限公司,0002400863
950219520,沃尔玛（中国）投资有限公司,0002400386
950219521,沃尔玛（中国）投资有限公司,0002401528
950219522,沃尔玛（中国）投资有限公司,0002401971
950219523,沃尔玛（中国）投资有限公司,0002402064
950219524,沃尔玛（中国）投资有限公司,0002402504
950219525,沃尔玛（中国）投资有限公司,0002400088
950219526,沈阳怡亚通泽庆供应链管理有限公司,0002402375
950219527,济南历下大润发商贸有限公司,0002402315
950219528,浙江爱婴室物流有限公司,0002402704
950219529,浙江爱婴室物流有限公司,0002402784
950219530,海口裕祥隆实业有限公司,0002400101
950219531,深圳市怡亚通供应链股份有限公司,0002402889
950219532,深圳市怡亚通供应链股份有限公司,0002402774
950219533,深圳市怡亚通供应链股份有限公司,0002402814
950219534,深圳市怡亚通供应链股份有限公司,0002401226
950219535,深圳市怡亚通供应链股份有限公司,0002402547
950219536,深圳市怡亚通供应链股份有限公司,0002402548
950219537,深圳市怡亚通供应链股份有限公司,0002402575
950219538,深圳市怡亚通供应链股份有限公司,0002402576
950219539,深圳市怡亚通供应链股份有限公司,0002402577
950219540,深圳市怡亚通供应链股份有限公司,0002402578
950219541,深圳市怡亚通供应链股份有限公司,0002402579
950219542,深圳市怡亚通供应链股份有限公司,0002402589
950219543,深圳市怡亚通供应链股份有限公司,0002402591
950219544,深圳市怡亚通供应链股份有限公司,0002402592
950219545,深圳市怡亚通供应链股份有限公司,0002402599
950219546,深圳市怡亚通供应链股份有限公司,0002402600
950219547,深圳市怡亚通供应链股份有限公司,0002402601
950219548,深圳市怡亚通供应链股份有限公司,0002402602
950219549,深圳市怡亚通供应链股份有限公司,0002402614
950219550,深圳市怡亚通供应链股份有限公司,0002402639
950219551,深圳市怡亚通供应链股份有限公司,0002402805
950219552,深圳市怡亚通供应链股份有限公司,0002402815
950219553,深圳市怡亚通供应链股份有限公司,0002402819
950219554,深圳市怡亚通供应链股份有限公司,0002402918
950219555,深圳市怡亚通供应链股份有限公司,0002402924
950219556,深圳市怡亚通供应链股份有限公司,0002402925
950219557,深圳市怡亚通供应链股份有限公司,0002402926
950219558,深圳市怡亚通供应链股份有限公司,0002402928
950219559,深圳市怡亚通供应链股份有限公司,0002402956
950219560,深圳市怡亚通供应链股份有限公司,0002402960
950219561,深圳市怡亚通供应链股份有限公司,0002402965
950219562,深圳市怡亚通供应链股份有限公司,0002402966
950219563,深圳市怡亚通供应链股份有限公司,0002402967
950219564,深圳市怡亚通供应链股份有限公司,0002402968
950219565,深圳市怡亚通供应链股份有限公司,0002402175
950219566,深圳市怡亚通供应链股份有限公司,0002402178
950219567,深圳市怡亚通供应链股份有限公司,0002402180
950219568,深圳市怡亚通供应链股份有限公司,0002402181
950219569,深圳市怡亚通供应链股份有限公司,0002402182
950219570,深圳市怡亚通供应链股份有限公司,0002402184
950219571,深圳市怡亚通供应链股份有限公司,0002402239
950219572,深圳市怡亚通供应链股份有限公司,0002402971
950219573,深圳市怡亚通供应链股份有限公司,0002402176
950219574,深圳市怡亚通供应链股份有限公司,0002402177
950219575,深圳市怡亚通供应链股份有限公司,0002402179
950219576,深圳市怡亚通供应链股份有限公司,0002402183
950219577,深圳市怡亚通供应链股份有限公司,0002402444
950219578,深圳市怡亚通供应链股份有限公司,0002402479
950219579,深圳市泰华通实业发展有限公司,0002402930
950219580,湛江市万庆丰贸易有限公司,0002400200
950219581,特易购乐购（中国）投资有限公司,0002401543
950219582,石家庄市富荣食品有限公司,0002400222
950219583,福建宏亚商贸发展有限公司,0002402744
950219584,肇庆市新泽诚深度供应链管理有限公司,0002402764
950219585,苏果超市有限公司,0002402669
950219586,苏果超市有限公司,0002402670
950219587,贵州省怡兴深度供应链管理有限公司,0002402219
950219588,邯郸市新天润商贸有限公司,0002401388
950219589,郑州市香香贸易有限公司,0002401421
950219590,郑州市香香贸易有限公司,0002402565
950219591,郑州市香香贸易有限公司,0002402644
950219592,郑州市香香贸易有限公司,0002400385
950219593,重庆宝怡商贸有限公司,0002402571
950219594,陕西华润万家生活超市有限公司,0002402630
950219595,陕西德毅晟贸易有限公司,0002402969
950219596,陕西霍飞贸易有限公司,0002402566
950219597,陕西霍飞贸易有限公司,0002402567
950219598,陕西霍飞贸易有限公司,0002402804
950219599,陕西霍飞贸易有限公司(DO NOT USE),0002402480
950219600,青岛东万丰食品有限公司,0002402634
950219601,青岛东万丰食品有限公司,0002402944
950219602,青岛东万丰食品有限公司,0002402529
950219603,青岛东万丰食品有限公司,0002402530
950219604,青岛东万丰食品有限公司,0002402531
950219605,青岛东万丰食品有限公司,0002402532
950219606,青岛润泰事业有限公司,0002401704
950219607,青岛润泰事业有限公司,0002402970
950219608,青岛福兴祥商品配送有限公司,0002402929
950219609,青岛福兴祥商品配送有限公司,0002400998
950219610,青岛福兴祥商品配送有限公司,0002402533
950219611,鞍山市怡安汇金供应链服务有限公司,0002402544
50002628,Danone Trading ELN B.V.,0002021205
50000033,DANONE,0002021600
50002554,"DANONE ASIA PACIFIC HOLDINGS PTE, L",0002022009
50011138,Danone Asia Pte Ltd,0002022012
50004060,DUMEX LIMITED,0002022800
50002603,DANONE DUMEX (MALAYSIA) SDN BHD,0002023800
50004924,Danone Nutricia Early Life Nutritio,0002026800
50001268,DANONE ASIA PACIFIC MANAGEMENT CO,0002028806
950125980,待查货款户,0002105168
950219374,北京东华盛商贸有限责任公司,0002402975
950220230,陕西德毅晟贸易有限公司,0002402976
950220231,陕西德毅晟贸易有限公司,0002402977
950219859,上海亲蓓母婴用品有限公司,0002104062
950220320,常州嘉轩消费品物流中心有限公司（DO NOT USE）,0002104816
50015643,UNIQUE FOODS AND FAMILY,0002104867
50011497,Danone Dumex ELN Singapore Pte Ltd,0002022018
50011737,NUTRICIA INTERNATIONAL BV (€),0002021020
50011452,Nutricia Ltd,0002025500
50011400,Danone Nutricia Online Distribution,0002026900
50011460,"Dumex Baby Food Co., Ltd.",0002028800
50011210,Happy Family Brands,0002029601
50011015,Nutricia Early Life Nutrition,CN3DUMC002
50011015,Nutricia Early Life Nutrition,CN3DUMC002
950125980,待查货款户,0002105168
50004924,Danone Nutricia Early Life Nutritio,0002026800
50011146,Danone Asia-Pacific Management Co,0002028806
50011146,Danone Asia-Pacific Management Co,0002028806
950221730,BLISSFUL BABY,CN3DUMC003
950222036,成都聚鹏商贸有限公司,00768739
950222351,福建永辉物流有限公司,00787365
950222788,BLISSFUL BABY,
950223076,江苏慧聚贸易有限公司,
950221782,成都聚鹏商贸有限公司,00768806
950222312,深圳市怡亚通供应链股份有限公司,00787014
950222300,福建永辉物流有限公司,00787466
950222299,福建永辉物流有限公司,00787503
950222325,福建永辉物流有限公司,00787413
950222324,福建永辉物流有限公司,00787477
950222804,汕头市华盛贸易有限公司,00798368
950223069,深圳市怡亚通供应链股份有限公司,00801643
950223079,江苏慧聚贸易有限公司,00795462
950223147,BLISSFUL BABY,00809876
950223149,深圳市怡亚通供应链股份有限公司,00811104
950223528,武汉市生泰副食有限责任公司,00818857
950224313,青岛东万丰食品有限公司,00834978
950226209,青岛东万丰食品有限公司,00873508
950227045,沃尔玛（中国）投资有限公司,892876
950227046,沃尔玛（中国）投资有限公司,892866
950227047,沃尔玛（中国）投资有限公司,892860
950227048,沃尔玛（中国）投资有限公司,892852
950227078,宁波家家乐国际贸易有限公司,00894398
950227114,山东谐晨商贸有限公司,
950227116,山东谐晨商贸有限公司,895258
950227117,山东谐晨商贸有限公司,895262
950227541,YU OU INTERNATIONAL (HK) LIMITED,00896356
950219392,宁波家家乐国际贸易有限公司,0002105032
950228355,青岛福兴祥商品配送有限公司(DO NOT USE),00930414
950228360,沃尔玛（中国）投资有限公司,00938450
950228470,深圳市怡亚通供应链股份有限公司,00937508
950228471,深圳市怡亚通供应链股份有限公司,00938140
950228472,深圳市怡亚通供应链股份有限公司,00938174
950228783,江苏慧聚贸易有限公司,00946851
950229447,深圳市泰华通实业发展有限公司佛山分公司,00967664
950229448,深圳市东华通贸易发展有限公司,00967634
950229449,厦门市东万晟贸易有限公司,00967601
950229450,陕西越飞贸易有限公司,00967552
950229451,宁波市家家乐食品有限责任公司,00967501
950229478,福建永辉物流有限公司,00966973
950229485,青岛东万丰食品有限公司,00960511
950229492,青岛东万丰食品有限公司,00960530
950229549,宁波市家家乐食品有限责任公司,00969210
950229552,深圳东华通贸易发展有限公司,00969324
950229556,宁波市家家乐食品有限责任公司,00969325
950229559,江苏慧聚贸易有限公司,00969430
950229563,陕西越飞贸易有限公司,00969416
950229572,厦门市东万晟贸易有限公司,00969341
950229573,深圳东华通贸易发展有限公司,00969338
950229574,宁波市家家乐食品有限责任公司,00969343
950229575,深圳东华通贸易发展有限公司,00969351
950229576,宁波市家家乐食品有限责任公司,00969358
950229577,深圳东华通贸易发展有限公司,00969371
950229578,深圳东华通贸易发展有限公司,00960376
950229579,陕西越飞贸易有限公司,00969377
950229580,陕西越飞贸易有限公司,00969388
950229581,深圳市泰华通实业发展有限公司佛山公司,00969398
950229582,深圳市泰华通实业发展有限公司湛江分公司,00969406
950229583,江苏慧聚贸易有限公司,00969439
950229584,宁波市家家乐食品有限责任公司,00969373
950229735,深圳市怡亚通供应链股份有限公司,00958687
950229736,深圳市怡亚通供应链股份有限公司,00958608
950230562,上药康德乐罗达（上海）医药有限公司,00991348
950231427,深圳市怡亚通供应链股份有限公司,01016285
50010434,Danone (CHINA)FOOD & BEVERAGE CO LT,
950231724,广西南宁市嘉年华贸易有限责任公司,01028119
950231725,广西南宁市嘉年华贸易有限责任公司,01028094
950231726,青岛福兴祥商品配送有限公司,01016401
950231727,广西南宁市嘉年华贸易有限责任公司,01028072
950231728,广西南宁市嘉年华贸易有限责任公司,01028063
950231729,广西南宁市嘉年华贸易有限责任公司,01028035
950231732,宁波优壹宝贝电子商务有限公司 DO NOT USE,01028037
950231808,宁波优壹宝贝电子商务有限公司,01027940
950231809,广西南宁市嘉年华贸易有限责任公司,01026295
950231810,重庆渝欧跨境电子商务股份有限公司,01026240
950231966,重庆渝欧跨境电子商务股份有限公司,01028015
950232023,陕西越飞贸易有限公司,01036705
950232066,宁波优壹宝贝电子商务有限公司,01041519
950232145,深圳市怡亚通供应链股份有限公司,00976658
950232146,深圳市怡亚通供应链股份有限公司,00976645
950232147,深圳市怡亚通供应链股份有限公司,00976630
950232148,深圳市怡亚通供应链股份有限公司,00976583
50011282,达能亚太（上海）管理有限公司,
950232422,北京爱亲科技股份有限公司,01049261
950232473,北京爱亲科技股份有限公司,01055119
950232475,北京爱亲科技股份有限公司,01055196
950232477,北京爱亲科技股份有限公司,01055237
950232478,北京爱亲科技股份有限公司,01055255
950232479,兰州天赐佳宝商贸有限责任公司,01050542
950232480,深圳市怡亚通供应链股份有限公司,950219420
950232851,重庆渝欧跨境电子商务股份有限公司,01056548
950233120,宁波熙耘科技有限公司,01064210
950233122,宁波熙耘科技有限公司,01064203
950233123,宁波熙耘科技有限公司,01064174
950233125,宁波家家乐国际贸易有限公司,01061227
950233129,宁波熙耘科技有限公司,01064220
950233130,宁波熙耘科技有限公司,01064154
950233131,深圳市怡亚通供应链股份有限公司,950219420
950233219,乌鲁木齐市诚成商贸有限责任公司,01073426
950233256,上海优壹电子商务有限公司,01075132
950233257,上海优壹电子商务有限公司,01075128
950233258,宁波优壹宝贝电子商务有限公司,01075125
950233259,宁波优壹宝贝电子商务有限公司,01075123
950233260,宁波优壹宝贝电子商务有限公司,01075122
950233886,上海新农饲料股份有限公司,01065100
950234068,浙江爱婴室物流有限公司,01088253
950234080,宁波熙耘科技有限公司,01063801
950234331,康成投资（中国）有限公司,01095962
950234364,重庆渝欧跨境电子商务股份有限公司,01091871
950234370,重庆渝欧跨境电子商务股份有限公司,01091869
950234371,重庆渝欧跨境电子商务股份有限公司,01091699
950234515,重庆渝欧跨境电子商务股份有限公司,01092795
950234516,重庆渝欧跨境电子商务股份有限公司,01092773
950234774,陕西越飞贸易有限公司,01091619
950234785,重庆渝欧跨境电子商务股份有限公司,01091887
950234786,重庆渝欧跨境电子商务股份有限公司,01092812
950234787,青岛福兴祥商业有限公司,01094801
950234788,陕西越飞贸易有限公司,01111587
950234789,陕西德毅晟贸易有限公司,01111647
950234790,上海优壹电子商务有限公司,01111603
